"ID","Source","Target"
1,Arthur William A Beckett,ASL
1,Arthur William A Beckett,London
1,Arthur William A Beckett,literary
3,Andrew Mercer Adam,ASL
3,Andrew Mercer Adam,armed services
3,Andrew Mercer Adam,country
3,Andrew Mercer Adam,medical
4,H R Adam,AI
4,H R Adam,ASL
4,H R Adam,Africa
5,William Adam,ESL
5,William Adam,political
6,Henry John Adams,ASL
6,Henry John Adams,London
7,William (1) Adams,Athenaeum Club
7,William (1) Adams,ESL
8,William (2) Adams,AI
8,William (2) Adams,ESL
8,William (2) Adams,London
8,William (2) Adams,Medical Society of London
8,William (2) Adams,Medical and Chirurgical Society of London
8,William (2) Adams,Pathological Society of London
8,William (2) Adams,Royal College of Surgeons
8,William (2) Adams,medical
11,William Adlam,ASL
11,William Adlam,Somersetshire Archaeological and Natural History Society
11,William Adlam,country
12,Louis Agassiz,AI
12,Louis Agassiz,ASL
12,Louis Agassiz,America
12,Louis Agassiz,ESL
12,Louis Agassiz,academic
12,Louis Agassiz,biologist
12,Louis Agassiz,geologist
13,Anastasius Agathides,ASL
13,Anastasius Agathides,London
13,Anastasius Agathides,academic
14,Augustine Aglio,ESL
14,Augustine Aglio,artist
15,Joseph Agnew,ASL
15,Joseph Agnew,Scotland
15,Joseph Agnew,medical
16,William Francis Harrison Ainsworth,ESL
16,William Francis Harrison Ainsworth,Geological Society
16,William Francis Harrison Ainsworth,London
16,William Francis Harrison Ainsworth,Royal Geographical Society
16,William Francis Harrison Ainsworth,Society of Antiquaries
16,William Francis Harrison Ainsworth,Syro Egyptian Society
16,William Francis Harrison Ainsworth,academic
16,William Francis Harrison Ainsworth,medical
17,William Baird Airston,ASL
17,William Baird Airston,Royal College of Surgeons
17,William Baird Airston,Scotland
17,William Baird Airston,medical
18,Alexander Muirhead Aitken,AI
18,Alexander Muirhead Aitken,ESL
18,Alexander Muirhead Aitken,India
18,Alexander Muirhead Aitken,London
18,Alexander Muirhead Aitken,legal
19,Thomas Aitken,ASL
19,Thomas Aitken,Anthropological Society of Paris
19,Thomas Aitken,Medico Psychological Association
19,Thomas Aitken,Scotland
19,Thomas Aitken,medical
22,Rutherford Alcock,Athenaeum Club
22,Rutherford Alcock,China
22,Rutherford Alcock,ESL
22,Rutherford Alcock,Japan
22,Rutherford Alcock,diplomacy
23,William Aldam,APS
23,William Aldam,ESL
23,William Aldam,Quaker
23,William Aldam,country
23,William Aldam,political
25,Frederick W Aley,ASL
25,Frederick W Aley,London
25,Frederick W Aley,"Society for the Encouragement of Arts, Manufactures and Commerce"
26,J  McGrigor Allan,ASL
